YEAR,STATE,RATE,DEATHS,URL
2022,AL,68.3,"3,524",/nchs/pressroom/states/alabama/al.htm
2022,AK,77.6,561,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,75.6,"5,928",/nchs/pressroom/states/arizona/az.htm
2022,AR,64.9,"2,062",/nchs/pressroom/states/arkansas/ar.htm
2022,CA,51,"21,168",/nchs/pressroom/states/california/ca.htm
2022,CO,69.7,"4,268",/nchs/pressroom/states/colorado/co.htm
2022,CT,66.5,"2,640",/nchs/pressroom/states/connecticut/ct.htm
2022,DE,83.8,883,/nchs/pressroom/states/delaware/de.htm
2022,District of Columbia,90.9,635,/nchs/pressroom/states/DC/DC1.htm
2022,FL,68.9,"17,115",/nchs/pressroom/states/florida/fl.htm
2022,GA,58.9,"6,519",/nchs/pressroom/states/georgia/ga.htm
2022,HI,40.9,693,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,57.9,"1,163",/nchs/pressroom/states/idaho/id.htm
2022,IL,55.9,"7,597",/nchs/pressroom/states/illinois/il.htm
2022,IN,71.6,"4,989",/nchs/pressroom/states/indiana/in.htm
2022,IA,49.8,"1,845",/nchs/pressroom/states/iowa/ia.htm
2022,KS,63.8,"1,995",/nchs/pressroom/states/kansas/ks.htm
2022,KY,91.5,"4,193",/nchs/pressroom/states/kentucky/ky.htm
2022,LA,93.9,"4,320",/nchs/pressroom/states/louisiana/la.htm
2022,ME,93.5,"1,391",/nchs/pressroom/states/maine/me.htm
2022,MD,48.8,"3,341",/nchs/pressroom/states/maryland/md.htm
2022,MA,61.6,"4,783",/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,59.2,"6,425",/nchs/pressroom/states/michigan/mi.htm
2022,MN,61.1,"3,882",/nchs/pressroom/states/minnesota/mn.htm
2022,MS,78.4,"2,367",/nchs/pressroom/states/mississippi/ms.htm
2022,MO,75.6,"4,940",/nchs/pressroom/states/missouri/mo.htm
2022,MT,65.4,803,/nchs/pressroom/states/montana/mt.htm
2022,NE,46.8,989,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,62.8,"2,110",/nchs/pressroom/states/nevada/nv.htm
2022,NH,66.7,"1,039",/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,49.7,"4,956",/nchs/pressroom/states/newjersey/nj.htm
2022,NM,98.4,"2,126",/nchs/pressroom/states/newmexico/nm.htm
2022,NY,50.2,"10,894",/nchs/pressroom/states/newyork/ny.htm
2022,NC,80,"8,858",/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,54,451,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,78.5,"9,682",/nchs/pressroom/states/ohio/oh.htm
2022,OK,81.4,"3,421",/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,67.9,"3,231",/nchs/pressroom/states/oregon/or.htm
2022,PA,70.4,"10,060",/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,67.6,848,/nchs/pressroom/states/rhodeisland/ri.htm
