YEAR,STATE,RATE,DEATHS,URL
2022,AL,20.3,"1,324",/nchs/pressroom/states/alabama/al.htm
2022,AK,14.7,97,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,8.5,836,/nchs/pressroom/states/arizona/az.htm
2022,AR,21.2,822,/nchs/pressroom/states/arkansas/ar.htm
2022,CA,10.8,"4,990",/nchs/pressroom/states/california/ca.htm
2022,CO,8.7,555,/nchs/pressroom/states/colorado/co.htm
2022,CT,15.2,763,/nchs/pressroom/states/connecticut/ct.htm
2022,DE,14.4,205,/nchs/pressroom/states/delaware/de.htm
2022,District of Columbia,7.2,49,/nchs/pressroom/states/DC/DC1.htm
2022,FL,11,"3,824",/nchs/pressroom/states/florida/fl.htm
2022,GA,19.7,"2,360",/nchs/pressroom/states/georgia/ga.htm
2022,HI,13.5,300,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,7.6,176,/nchs/pressroom/states/idaho/id.htm
2022,IL,18.2,"2,916",/nchs/pressroom/states/illinois/il.htm
2022,IN,18.6,"1,541",/nchs/pressroom/states/indiana/in.htm
2022,IA,11.1,488,/nchs/pressroom/states/iowa/ia.htm
2022,KS,17.4,644,/nchs/pressroom/states/kansas/ks.htm
2022,KY,21.9,"1,227",/nchs/pressroom/states/kentucky/ky.htm
2022,LA,19.3,"1,072",/nchs/pressroom/states/louisiana/la.htm
2022,ME,10.8,243,/nchs/pressroom/states/maine/me.htm
2022,MD,9.7,752,/nchs/pressroom/states/maryland/md.htm
2022,MA,15,"1,406",/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,15.9,"2,106",/nchs/pressroom/states/michigan/mi.htm
2022,MN,8.2,607,/nchs/pressroom/states/minnesota/mn.htm
2022,MS,21.3,761,/nchs/pressroom/states/mississippi/ms.htm
2022,MO,21,"1,684",/nchs/pressroom/states/missouri/mo.htm
2022,MT,11,164,/nchs/pressroom/states/montana/mt.htm
2022,NE,11.1,273,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,7.7,288,/nchs/pressroom/states/nevada/nv.htm
2022,NH,10.7,213,/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,14.6,"1,768",/nchs/pressroom/states/newjersey/nj.htm
2022,NM,13.4,371,/nchs/pressroom/states/newmexico/nm.htm
2022,NY,9.8,"2,644",/nchs/pressroom/states/newyork/ny.htm
2022,NC,16.4,"2,169",/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,11.9,118,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,16.3,"2,548",/nchs/pressroom/states/ohio/oh.htm
2022,OK,11.1,523,/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,8.8,492,/nchs/pressroom/states/oregon/or.htm
2022,PA,16.7,"3,135",/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,8,124,/nchs/pressroom/states/rhodeisland/ri.htm
2022,SC,13.6,955,/nchs/pressroom/states/southcarolina/sc.htm
2022,SD,7.2,81,/nchs/pressroom/states/southdakota/sd.htm
2022,TN,14.3,"1,245",/nchs/pressroom/states/tennessee/tn.htm
2022,TX,16,"4,766",/nchs/pressroom/states/texas/tx.htm
2022,UT,13.8,390,/nchs/pressroom/states/utah/ut.htm
2022,VT,4.3,43,/nchs/pressroom/states/vermont/vt.htm
2022,VA,16,"1,703",/nchs/pressroom/states/virginia/va.htm
2022,WA,6.2,577,/nchs/pressroom/states/washington/wa.htm
2022,WV,24.5,623,/nchs/pressroom/states/westvirginia/wv.htm
2022,WI,11.4,894,/nchs/pressroom/states/wisconsin/wi.htm
2022,WY,11.1,82,/nchs/pressroom/states/wyoming/wy.htm
2021,AL,18.5,"1,163",/nchs/pressroom/states/alabama/al.htm
2021,AK,14,84,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,9.4,871,/nchs/pressroom/states/arizona/az.htm
2021,AR,21.2,793,/nchs/pressroom/states/arkansas/ar.htm
2021,CA,10.6,"4,697",/nchs/pressroom/states/california/ca.htm
2021,CO,9.1,543,/nchs/pressroom/states/colorado/co.htm
2021,CT,12.9,638,/nchs/pressroom/states/connecticut/ct.htm
2021,DE,12.1,165,/nchs/pressroom/states/delaware/de.htm
2021,FL,10.5,"3,445",/nchs/pressroom/states/florida/fl.htm
2021,GA,20,"2,269",/nchs/pressroom/states/georgia/ga.htm
2021,HI,12.4,264,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,8.1,170,/nchs/pressroom/states/idaho/id.htm
2021,IL,17.2,"2,648",/nchs/pressroom/states/illinois/il.htm
2021,IN,18,"1,418",/nchs/pressroom/states/indiana/in.htm
2021,IA,10,419,/nchs/pressroom/states/iowa/ia.htm
2021,KS,15.4,550,/nchs/pressroom/states/kansas/ks.htm
2021,KY,21.1,"1,130",/nchs/pressroom/states/kentucky/ky.htm
2021,LA,20.6,"1,109",/nchs/pressroom/states/louisiana/la.htm
2021,ME,12.6,250,/nchs/pressroom/states/maine/me.htm
2021,MD,9.7,710,/nchs/pressroom/states/maryland/md.htm
2021,MA,13.7,"1,221",/nchs/pressroom/states/massachusetts/ma.htm
2021,MI,15.5,"1,964",/nchs/pressroom/states/michigan/mi.htm
2021,MN,7.4,509,/nchs/pressroom/states/minnesota/mn.htm
2021,MS,21.4,734,/nchs/pressroom/states/mississippi/ms.htm
2021,MO,19.9,"1,542",/nchs/pressroom/states/missouri/mo.htm
2021,MT,12.3,179,/nchs/pressroom/states/montana/mt.htm
2021,NE,8.8,207,/nchs/pressroom/states/nebraska/ne.htm
2021,NV,8.8,309,/nchs/pressroom/states/nevada/nv.htm
2021,NH,10,188,/nchs/pressroom/states/newhampshire/nh.htm
2021,NJ,14.1,"1,644",/nchs/pressroom/states/newjersey/nj.htm
2021,NM,12.7,339,/nchs/pressroom/states/newmexico/nm.htm
2021,NY,9.8,"2,545",/nchs/pressroom/states/newyork/ny.htm
2021,NC,17.9,"2,243",/nchs/pressroom/states/northcarolina/nc.htm
2021,ND,11.4,106,/nchs/pressroom/states/northdakota/nd.htm
2021,OH,15.3,"2,294",/nchs/pressroom/states/ohio/oh.htm
2021,OK,11.3,524,/nchs/pressroom/states/oklahoma/ok.htm
2021,OR,7.6,400,/nchs/pressroom/states/oregon/or.htm
