YEAR,STATE,RATE,DEATHS,URL
2022,AL,51.1,"3,291",/nchs/pressroom/states/alabama/al.htm
2022,AK,35.1,223,/nchs/pressroom/states/alaska/ak.htm
2022,AZ,34.5,"3,390",/nchs/pressroom/states/arizona/az.htm
2022,AR,46,"1,774",/nchs/pressroom/states/arkansas/ar.htm
2022,CA,39.8,"18,442",/nchs/pressroom/states/california/ca.htm
2022,CO,33.8,"2,098",/nchs/pressroom/states/colorado/co.htm
2022,CT,30.1,"1,504",/nchs/pressroom/states/connecticut/ct.htm
2022,DE,56.9,805,/nchs/pressroom/states/delaware/de.htm
2022,District of Columbia,42.1,287,/nchs/pressroom/states/DC/DC1.htm
2022,FL,45.1,"16,385",/nchs/pressroom/states/florida/fl.htm
2022,GA,44,"5,110",/nchs/pressroom/states/georgia/ga.htm
2022,HI,39.5,905,/nchs/pressroom/states/hawaii/hi.htm
2022,ID,34.4,765,/nchs/pressroom/states/idaho/id.htm
2022,IL,41.4,"6,672",/nchs/pressroom/states/illinois/il.htm
2022,IN,41.9,"3,478",/nchs/pressroom/states/indiana/in.htm
2022,IA,32,"1,412",/nchs/pressroom/states/iowa/ia.htm
2022,KS,35.8,"1,324",/nchs/pressroom/states/kansas/ks.htm
2022,KY,42.9,"2,366",/nchs/pressroom/states/kentucky/ky.htm
2022,LA,50.2,"2,724",/nchs/pressroom/states/louisiana/la.htm
2022,ME,29.4,639,/nchs/pressroom/states/maine/me.htm
2022,MD,43.8,"3,360",/nchs/pressroom/states/maryland/md.htm
2022,MA,25.6,"2,396",/nchs/pressroom/states/massachusetts/ma.htm
2022,MI,44.2,"5,802",/nchs/pressroom/states/michigan/mi.htm
2022,MN,31.8,"2,347",/nchs/pressroom/states/minnesota/mn.htm
2022,MS,54.2,"1,943",/nchs/pressroom/states/mississippi/ms.htm
2022,MO,39.1,"3,153",/nchs/pressroom/states/missouri/mo.htm
2022,MT,26.5,400,/nchs/pressroom/states/montana/mt.htm
2022,NE,35.1,867,/nchs/pressroom/states/nebraska/ne.htm
2022,NV,40,"1,445",/nchs/pressroom/states/nevada/nv.htm
2022,NH,30.3,600,/nchs/pressroom/states/newhampshire/nh.htm
2022,NJ,30,"3,643",/nchs/pressroom/states/newjersey/nj.htm
2022,NM,38.1,"1,044",/nchs/pressroom/states/newmexico/nm.htm
2022,NY,24.5,"6,605",/nchs/pressroom/states/newyork/ny.htm
2022,NC,47.7,"6,189",/nchs/pressroom/states/northcarolina/nc.htm
2022,ND,32.8,330,/nchs/pressroom/states/northdakota/nd.htm
2022,OH,46.5,"7,202",/nchs/pressroom/states/ohio/oh.htm
2022,OK,39.5,"1,884",/nchs/pressroom/states/oklahoma/ok.htm
2022,OR,47.1,"2,630",/nchs/pressroom/states/oregon/or.htm
2022,PA,36.6,"6,870",/nchs/pressroom/states/pennsylvania/pa.htm
2022,RI,29.2,448,/nchs/pressroom/states/rhodeisland/ri.htm
2022,SC,45.6,"3,100",/nchs/pressroom/states/southcarolina/sc.htm
2022,SD,33.1,392,/nchs/pressroom/states/southdakota/sd.htm
2022,TN,46.4,"3,949",/nchs/pressroom/states/tennessee/tn.htm
2022,TX,42.3,"12,225",/nchs/pressroom/states/texas/tx.htm
2022,UT,34.6,959,/nchs/pressroom/states/utah/ut.htm
2022,VT,27.1,261,/nchs/pressroom/states/vermont/vt.htm
2022,VA,41.2,"4,326",/nchs/pressroom/states/virginia/va.htm
2022,WA,36.7,"3,339",/nchs/pressroom/states/washington/wa.htm
2022,WV,43.4,"1,117",/nchs/pressroom/states/westvirginia/wv.htm
2022,WI,35.3,"2,761",/nchs/pressroom/states/wisconsin/wi.htm
2022,WY,29.8,212,/nchs/pressroom/states/wyoming/wy.htm
2021,AL,54.9,"3,361",/nchs/pressroom/states/alabama/al.htm
2021,AK,42.3,253,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,36.1,"3,329",/nchs/pressroom/states/arizona/az.htm
2021,AR,49.9,"1,841",/nchs/pressroom/states/arkansas/ar.htm
2021,CA,42.1,"18,364",/nchs/pressroom/states/california/ca.htm
2021,CO,35.5,"2,045",/nchs/pressroom/states/colorado/co.htm
2021,CT,29.5,"1,444",/nchs/pressroom/states/connecticut/ct.htm
2021,DE,56.8,756,/nchs/pressroom/states/delaware/de.htm
2021,FL,46.5,"15,599",/nchs/pressroom/states/florida/fl.htm
2021,GA,47.9,"5,233",/nchs/pressroom/states/georgia/ga.htm
2021,HI,43.8,943,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,36.8,753,/nchs/pressroom/states/idaho/id.htm
2021,IL,44.1,"6,766",/nchs/pressroom/states/illinois/il.htm
2021,IN,43.9,"3,425",/nchs/pressroom/states/indiana/in.htm
2021,IA,33.8,"1,403",/nchs/pressroom/states/iowa/ia.htm
2021,KS,38.4,"1,365",/nchs/pressroom/states/kansas/ks.htm
2021,KY,45.8,"2,428",/nchs/pressroom/states/kentucky/ky.htm
2021,LA,52,"2,755",/nchs/pressroom/states/louisiana/la.htm
2021,ME,32.5,650,/nchs/pressroom/states/maine/me.htm
2021,MD,47.3,"3,413",/nchs/pressroom/states/maryland/md.htm
2021,MA,25.6,"2,278",/nchs/pressroom/states/massachusetts/ma.htm
2021,MI,46.2,"5,781",/nchs/pressroom/states/michigan/mi.htm
2021,MN,34.5,"2,384",/nchs/pressroom/states/minnesota/mn.htm
2021,MS,57.8,"1,982",/nchs/pressroom/states/mississippi/ms.htm
2021,MO,41,"3,178",/nchs/pressroom/states/missouri/mo.htm
2021,MT,31.2,440,/nchs/pressroom/states/montana/mt.htm
2021,NE,36.5,851,/nchs/pressroom/states/nebraska/ne.htm
2021,NV,41.7,"1,443",/nchs/pressroom/states/nevada/nv.htm
2021,NH,30.3,548,/nchs/pressroom/states/newhampshire/nh.htm
